temp,humidity,visability,pressure,wind speed,time
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:13:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:14:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:15:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:16:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:17:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:18:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:19:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:20:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:21:19
25°C,54%,10000m,1013.0mb,9  Km/h,02/10/2021 11:22:19
